sigma,omega,fdm_trap,fdm_vegas,meq_vegas,Q_f,Q_m,M_lo,M_hi,file
0.7135192,0.3249294,4.553716430283393e-29,4.553700156142995e-29,1.221132575032386,0.4873027739900333,0.4873027739900333,0.0001,249.9278,/data/homezvol0/jgpaine/sashimi+DD/band15/sigma0.7135192_W0.3249294_l1e-04_h1e+06.txt
0.723056,0.293519,2.534302789133602e-29,2.534293040357644e-29,0.9199660611605526,0.6283698427368638,0.08312170653043874,0.0001,166.5812,/data/homezvol0/jgpaine/sashimi+DD/band15/sigma0.723056_W0.293519_l1e-04_h1e+06.txt
0.7335478,0.3774995,1.1209983378223118e-28,1.1210029356658104e-28,1.7663505404440296,0.24397691930083518,0.2017979588050005,0.0001,484.1638,/data/homezvol0/jgpaine/sashimi+DD/band15/sigma0.7335478_W0.3774995_l1e-04_h1e+06.txt
0.7616072,0.2230594,2.382484832643923e-30,2.3824999138784557e-30,0.4167158139397199,0.7453158793064074,0.5181078425263488,0.0001,56.9361,/data/homezvol0/jgpaine/sashimi+DD/band15/sigma0.7616072_W0.2230594_l1e-04_h1e+06.txt
0.9006501,0.3208328,1.547202279696858e-28,1.547200721393956e-28,1.0116747315073125,0.2421739301519926,0.2421739301519926,0.0001,327.9815,/data/homezvol0/jgpaine/sashimi+DD/band15/sigma0.9006501_W0.3208328_l1e-04_h1e+06.txt
0.9135001,0.2963916,1.2343493627011802e-28,1.2343512018102196e-28,0.8203203912856597,0.6099736007643161,0.6099736007643161,0.0001,241.1969,/data/homezvol0/jgpaine/sashimi+DD/band15/sigma0.9135001_W0.2963916_l1e-04_h1e+06.txt
0.9683965,0.2514252,8.452939415234353e-29,8.452925282883612e-29,0.5194598129987693,0.2839804395315018,0.2839804395315018,0.0001,132.3932,/data/homezvol0/jgpaine/sashimi+DD/band15/sigma0.9683965_W0.2514252_l1e-04_h1e+06.txt
100000.0,0.0134339933,0.002714094840836673,0.002714095411330822,0.0020559013174762933,0.4618705818126325,0.08519202380214025,0.0001,369.1488,/data/homezvol0/jgpaine/sashimi+DD/2540/sigma100000.0_W0.0134339933_l1e-04_h1e+06.txt
100000.0,0.0180472177,0.003741041233781052,0.0037410464304193612,0.003295042985129594,0.4677208453274576,0.4677208453274576,0.0001,1139.512,/data/homezvol0/jgpaine/sashimi+DD/2540/sigma100000.0_W0.0180472177_l1e-04_h1e+06.txt
100000.0,0.01,0.0018302996660422201,0.0018302984465288616,0.0012571449471002758,0.7654291099131053,0.5350423026715453,0.0001,119.1611,/data/homezvol0/jgpaine/sashimi+DD/2540/sigma100000.0_W0.01_l1e-04_h1e+06.txt
100000.0,0.0242446202,0.0049181137530193665,0.004918098305388691,0.005148182082505454,0.0357639942929409,0.0357639942929409,0.0001,3500.987,/data/homezvol0/jgpaine/sashimi+DD/2540/sigma100000.0_W0.0242446202_l1e-04_h1e+06.txt
100000.0,0.0325702066,0.006215844420063251,0.006215852402486141,0.007807979504516813,0.789419371910094,0.33197984392821234,0.0001,10714.02,/data/homezvol0/jgpaine/sashimi+DD/2540/sigma100000.0_W0.0325702066_l1e-04_h1e+06.txt
100000.0,0.0437547938,0.007566450931930849,0.007566444603705279,0.011319034034345197,0.2723081325462604,0.2723081325462604,0.0001,32777.19,/data/homezvol0/jgpaine/sashimi+DD/2540/sigma100000.0_W0.0437547938_l1e-04_h1e+06.txt
100000.0,0.0587801607,0.008997865306001534,0.008997844698547391,0.01585176960283011,0.017969372206734533,0.017969372206734533,0.0001,99990.65,/data/homezvol0/jgpaine/sashimi+DD/2540/sigma100000.0_W0.0587801607_l1e-04_h1e+06.txt
